"GEOID","NAME","vacancy_totalE","vacancy_totalM","for_rentE","for_rentM","rented_not_occE","rented_not_occM","for_saleE","for_saleM","sold_not_occE","sold_not_occM","seasonal_rec_occaisionalE","seasonal_rec_occaisionalM","migrant_workerE","migrant_workerM","other_vacantE","other_vacantM"
"12762","ZCTA5 12762",213,89,0,12,0,12,0,12,0,12,142,76,0,12,71,59
"12766","ZCTA5 12766",149,70,0,12,0,12,0,12,0,12,149,70,0,12,0,12
"12779","ZCTA5 12779",819,169,69,70,0,12,49,55,0,12,643,160,0,12,58,59
"12787","ZCTA5 12787",88,44,0,12,0,12,0,12,0,12,66,43,0,12,22,27
"12803","ZCTA5 12803",308,171,0,17,83,90,0,17,0,17,61,63,0,17,164,134
"12804","ZCTA5 12804",1351,254,240,130,69,57,73,56,25,39,663,165,0,22,281,150
"14858","ZCTA5 14858",110,47,0,12,0,12,8,13,0,12,66,32,0,12,36,30
"14860","ZCTA5 14860",378,61,4,7,0,12,0,12,0,12,309,55,0,12,65,36
"14864","ZCTA5 14864",109,100,0,12,0,12,5,10,0,12,26,32,0,12,78,96
"14869","ZCTA5 14869",50,28,19,21,0,12,11,17,0,12,7,10,0,12,13,15
"14874","ZCTA5 14874",150,43,0,12,0,12,0,12,0,12,133,41,0,12,17,19
"14877","ZCTA5 14877",153,33,0,12,0,12,6,9,0,12,117,31,0,12,30,18
"14884","ZCTA5 14884",201,38,7,10,0,12,3,5,0,12,188,39,0,12,3,6
"14207","ZCTA5 14207",1373,275,205,114,22,35,21,25,24,38,28,24,0,22,1073,232
"14211","ZCTA5 14211",2665,266,264,105,51,41,112,83,124,82,8,13,0,22,2106,267
